Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,34.110001,34.180000,33.250000,33.630001,33.533916,92400
2021-01-11,33.250000,33.910000,33.000000,33.119999,33.025372,78600
2021-01-12,33.369999,33.720001,33.000000,33.240002,33.145031,82100
2021-01-13,33.130001,33.410000,32.830002,33.349998,33.254711,76100
2021-01-14,33.619999,34.070000,33.450001,33.939999,33.843025,90700
2021-01-15,33.689999,34.099998,33.169998,33.619999,33.523941,60100
2021-01-19,33.980000,34.570000,33.790001,34.020000,33.922802,76900
2021-01-20,33.950001,34.639999,33.950001,34.410000,34.311684,101600
2021-01-21,34.459999,35.020000,34.400002,34.570000,34.471230,95100
2021-01-22,34.259998,34.820000,33.570000,34.810001,34.710545,80700
2021-01-25,34.689999,35.410000,34.349998,35.360001,35.258972,136800
2021-01-26,35.419998,36.119999,35.240002,35.980000,35.877201,100900
2021-01-27,35.509998,35.630001,34.130001,34.730000,34.630772,124600
2021-01-28,34.869999,34.869999,33.630001,33.669998,33.573799,118600
2021-01-29,33.590000,34.230000,32.990002,33.119999,33.025372,94000
2021-02-01,33.410000,33.619999,33.110001,33.279999,33.184914,56100
2021-02-02,33.660000,34.130001,33.380001,34.119999,34.022514,54700
2021-02-03,34.130001,34.349998,33.720001,33.980000,33.882915,85300
2021-02-04,34.080002,35.240002,34.020000,35.000000,34.900002,59400
2021-02-05,35.259998,35.270000,34.740002,35.110001,35.110001,49400
2021-02-08,35.330002,35.750000,35.189999,35.750000,35.750000,57100
2021-02-09,35.660000,35.980000,35.500000,35.830002,35.830002,74500
2021-02-10,36.000000,36.200001,35.439999,36.060001,36.060001,117500
2021-02-11,36.189999,36.810001,36.049999,36.570000,36.570000,160300
2021-02-12,36.560001,36.700001,36.020000,36.580002,36.580002,115100
2021-02-16,36.849998,36.849998,35.090000,35.299999,35.299999,106200
2021-02-17,34.709999,34.810001,33.689999,34.790001,34.790001,90100
2021-02-18,34.630001,35.230000,32.740002,34.340000,34.340000,331300
2021-02-19,34.709999,34.919998,34.209999,34.459999,34.459999,96100
2021-02-22,34.130001,35.240002,34.130001,34.700001,34.700001,120400
2021-02-23,34.340000,34.830002,33.740002,33.799999,33.799999,147800
2021-02-24,33.799999,34.119999,33.529999,33.860001,33.860001,104600
2021-02-25,33.849998,33.990002,33.130001,33.270000,33.270000,80200
2021-02-26,33.049999,33.509998,32.709999,32.959999,32.959999,151300
2021-03-01,33.549999,34.180000,33.549999,34.169998,34.169998,77800
2021-03-02,34.110001,34.410000,33.369999,33.650002,33.650002,80300
2021-03-03,33.990002,34.250000,33.450001,33.880001,33.880001,71700
2021-03-04,33.650002,33.959999,33.060001,33.230000,33.230000,107000
2021-03-05,33.580002,34.119999,32.779999,34.060001,34.060001,114900
2021-03-08,34.950001,36.340000,34.529999,36.060001,36.060001,129400
2021-03-09,36.330002,36.330002,35.689999,35.790001,35.790001,114400
2021-03-10,35.900002,36.840000,35.869999,36.790001,36.790001,102200
2021-03-11,36.720001,36.939999,36.349998,36.520000,36.520000,120900
2021-03-12,36.750000,36.860001,36.080002,36.139999,36.139999,117500
2021-03-15,36.000000,36.480000,35.200001,36.480000,36.480000,114200
2021-03-16,36.419998,36.500000,35.549999,36.049999,36.049999,72200
2021-03-17,36.230000,36.520000,35.580002,36.270000,36.270000,66000
2021-03-18,36.119999,36.959999,36.119999,36.810001,36.810001,91100
2021-03-19,36.820000,38.220001,36.730000,36.820000,36.820000,391600
2021-03-22,36.950001,37.130001,36.099998,36.549999,36.549999,113000
2021-03-23,36.240002,36.520000,35.270000,35.380001,35.380001,111400
2021-03-24,35.790001,36.160000,34.549999,34.650002,34.650002,119000
2021-03-25,34.389999,35.060001,33.709999,34.939999,34.939999,75700
2021-03-26,35.119999,35.290001,34.669998,35.240002,35.240002,54100
2021-03-29,34.959999,35.570000,34.910000,35.099998,35.099998,83300
2021-03-30,35.189999,35.680000,34.950001,35.110001,35.110001,87100
2021-03-31,35.349998,36.480000,34.980000,35.189999,35.189999,221800
2021-04-01,35.270000,36.340000,35.099998,36.139999,36.139999,111400
2021-04-05,36.580002,36.849998,36.200001,36.529999,36.529999,114000
2021-04-06,36.650002,36.930000,36.349998,36.660000,36.660000,66100
2021-04-07,36.549999,36.680000,35.570000,35.759998,35.759998,83300
2021-04-08,35.750000,35.790001,34.910000,35.320000,35.320000,116200
2021-04-09,35.380001,35.419998,35.090000,35.220001,35.220001,52600
2021-04-12,35.130001,35.340000,34.869999,35.230000,35.230000,43200
2021-04-13,35.119999,35.610001,34.959999,35.279999,35.279999,53900
2021-04-14,35.250000,36.389999,35.130001,36.099998,36.099998,84500
